question_id;question;question_variant;original_model_id;name;organization_id;category
q090;In this model, can we always execute the task 'werden über Artikel per Email informiert'? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);Is the task 'werden über Artikel epr Email informiert' always executable in this model? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);262d9e9b8c224d918fe800cd2a454ddf;Auktionshaus_Online;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
q091;In this model, how many ways are there for the choreography to execute? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);How many distinct execution paths does the choreography in this model have? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);01e9c28ede6a4695b91dd90b3e0c5f1b;Doctor-patient recipe;b70260bddb0c414aa3f2fb9b0acc96c5;general
q092;In this model, which tasks have 2 related messages? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);Which tasks in this model have exactly two associated messages? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);01e9c28ede6a4695b91dd90b3e0c5f1b;Doctor-patient recipe;b70260bddb0c414aa3f2fb9b0acc96c5;general
q093;How many start events does this model have? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);What is the number of start events in this model? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);01e9c28ede6a4695b91dd90b3e0c5f1b;Doctor-patient recipe;b70260bddb0c414aa3f2fb9b0acc96c5;general
q094;Which model contains a task called 'credentials'?;In which model can we find a task named 'credetnials'?;01e9c28ede6a4695b91dd90b3e0c5f1b;Doctor-patient recipe;b70260bddb0c414aa3f2fb9b0acc96c5;model-specific
q095;In this model, is the 'send doctor credentials' node always reachable from 'recipe request' node? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);Can we always reach 'send doctorc redentials' from 'recipe request' in this model? (Model ID: 01e9c28ede6a4695b91dd90b3e0c5f1b);01e9c28ede6a4695b91dd90b3e0c5f1b;Doctor-patient recipe;b70260bddb0c414aa3f2fb9b0acc96c5;model-specific
q096;Does this model contain any event-based gateways? (Model ID: f404135647444aedabe98bb54c000517);Are there any event-based gateways in this model? (Model ID: f404135647444aedabe98bb54c000517);f404135647444aedabe98bb54c000517;choreo;fe334b3d8ec449938b4f3db5e5eac22e;general
q097;How many participants are in this model? (Model ID: f404135647444aedabe98bb54c000517);What is the total number of participants in this model? (Model ID: f404135647444aedabe98bb54c000517);f404135647444aedabe98bb54c000517;choreo;fe334b3d8ec449938b4f3db5e5eac22e;general
q098;List all tasks of this model! (Model ID: f404135647444aedabe98bb54c000517);What are all the tasks defined in this model? (Model ID: f404135647444aedabe98bb54c000517);f404135647444aedabe98bb54c000517;choreo;fe334b3d8ec449938b4f3db5e5eac22e;general
q099;Which model has a task named 'Applicant information'?;Which model includes a task called 'Applicant niformation'?;f404135647444aedabe98bb54c000517;choreo;fe334b3d8ec449938b4f3db5e5eac22e;model-specific
q100;In this model which task comes between 'Cancellation Acknowledge' and 'Notification'? (Model ID: f404135647444aedabe98bb54c000517);What task is located between 'CancellationA cknowledge' and 'Notification' in this model? (Model ID: f404135647444aedabe98bb54c000517);f404135647444aedabe98bb54c000517;choreo;fe334b3d8ec449938b4f3db5e5eac22e;model-specific
