q001	The model "A-A 2" (Model ID: `2f572d235e784b838fa0d7d2a56748ab`) contains 13 choreography tasks.
q156	Within the organization with ID 38b17e822a5e4307ae051694293e4d0f (Org20), the following 4 models contain choreography tasks related to making offers: - Choreography, - Travel Agency, - Travel Agency Choreography, - Travel agency
q157	Within the organization (ID: `38b17e822a5e4307ae051694293e4d0f`), 4 models contain financial-related choreography tasks: - Choreography, - Travel Agency, - Travel Agency Choreography, - Travel agency
q158	The organization (ID: 38b17e822a5e4307ae051694293e4d0f) has 2 models related to organ transportation: - Jane Doe_2, - Wilk_Jane Doe_2. Both are written in Polish and deal with organ transplantation coordination processes.
q159	The organization with ID 38b17e822a5e4307ae051694293e4d0f (Org20) has 12 models that are written in a mix of Polish (predominantly) and English.
q160	The Service-Techniker is needed when a customer's problem cannot be resolved remotely over the phone by the Hotline staff. In that case, the problem is escalated through a dispatcher (Disponent), who contacts the Service-Techniker to travel to the customer's location and solve the problem on-site. After resolving the issue, the Service-Techniker records time and costs and has the customer sign a form.
q161	Org68 has the most models in the corpus with 40 models.
q162	The organization with the earliest model creation date is Org52. Its earliest model is "Aufgabe 1: 4 Augen-Prüfung", created on 2015-11-20 at 11:09:01.
q163	There are 4 organizations that have between 5 and 10 models: Org13 (1c0ca074f62d457cad311a2ab2a3d6b5), Org16 (1fcd4973039d4c648b9c4535154699d4), Org95 (fcb09822983f4723b0799941e76e9c60), Org25 (4d36ddb24c9e4cc38572abbd646c1e58)
q164	There are 97 organizations in the SAP-SAM Aggregated BPMN Corpus.
q165	The fewest models any organization has is 1 model, and there are 71 organizations tied at this minimum.
q166	There are 2 organizations that have models related to restaurants: Org2 and Org53.
q167	5 organizations have models related to university admissions: Org18 — 8 models (the most by far), primarily in German, covering university application processes; Org97 — 1 model (*choreo*), in English, with tasks like "Apply for admission" and participants including University, Applicant, and Postal Service; Org92 — 1 model (*A2 Section 1 choreo*), containing university admission-related tasks; Org19 — 1 model (*Choreography*), with university admission-related content; Org85 — 1 model (*Cancellation choreography*), involving a university-related participant.
q168	Yes, there are 2 organizations with models about car rentals: Org60 and Org35.
q169	4 organizations have models related to online shopping or webshops: Org20 — 3 models about a wardrobe shop (online shop choreographies); Org52 — 1 model about an online auction house; Org68 — 1 model featuring web-shop/online-shop elements; Org87 — 1 model about a return/complaint process involving an online shop.
q170	Yes, there are 6 organizations with models related to medical or healthcare processes. Here's a summary: Org10 — Model: *"Choreography diagram (fixed)"; Org20 — Model: *"Wilk_Jane Doe_2"*; Org34 — Model: *"Choreographiediagramm (Kopie)"*; Org39 — Models: *"Choreography_Manufacturer_Alt3 (Copy)"* and *"Choreography_gemeinsam"*; Org65 — Model: *"Doctor-patient recipe"*; Org68 — Model: *"12345678"*
q171	The organization with ID c41660388a04449a995dccf97d894f46 contains 40 models.
q172	The organization contains 40 models in total, with the majority of element names written in German and English, and a smaller portion in Spanish.
q173	In the organization with ID c41660388a04449a995dccf97d894f46, 5 models include parallel execution (i.e., they contain Parallel Gateways): - 2d634d45664f4e9f8e1d18e4d4e83530, - 0b4394edaa09437d93cc54c78c0180cb, - 1c39124a3f10408e9b45639c1c042949, - 5fad1cde52e243bc8797a096bc012bf5, - 4e8df28e6d9f4afe970d06522542e830.
q174	In the organization with ID c41660388a04449a995dccf97d894f46 (Org68), there are 4 distinct models containing 9 choreography tasks related to invoice processing. All models share the display name "12345678" but are distinct models: - 2d887704e5324e6bb2126cef061e50e9, - 2d8ea038966a44ad8eb4d6a1cb0e57e4, - 2fbef9fde00947c8acee5262d65f7b84, - 2d5f102915a94ee4af2113fc9bb62024.
q175	An academic institution (likely a European/German university) using the SAP Signavio platform for: - Teaching BPMN choreography modeling to students (bulk test models, diverse textbook scenarios), - Research on cross-organizational business processes and compliance, - Multilingual instruction (primarily German, with English and Spanish examples), - Covering a broad curriculum of business domains: e-commerce, procurement, logistics, healthcare, finance, and advertising
q176	The organization with ID 5e1278d2bfce434b95e80ab3625cdc63 contains 37 models.
q177	The models belonging to the organization with ID 5e1278d2bfce434b95e80ab3625cdc63 (labeled Org31) are written in Serbian (Latin script).
q178	In the organization with ID `5e1278d2bfce434b95e80ab3625cdc63`, 16 models contain choreography tasks related to technical support: - 12345678_3, - 30.03.2019_Zadatak2, - 30.3.2019 16:15, - Dijagram koreografija - Zadatak V6, - Dijagram koreografije, - Koreografija, - Koreografija K/O, - Koreografija zad1, - New Process, - VEŽBE 5 - Korisnički servis, - Vezbe koreografija, - Vežbe 5 koreogafija, - call centar četvrtak 10:00 koreografija, - koreografija, - koreografija na osnovu kol, - koreografija(12.mart).
q179	There are 32 models in organization `5e1278d2bfce434b95e80ab3625cdc63` that involve a participant named "Operater": - 12345678_3, - 30.03.2019_Zadatak2, - 30.3.2019 16:15 - 1b, - 5-1.1, - Dijagram koreografija - Zadatak V6, - Dijagram koreografije, - Klijent operater koreografija, - Koreografija (3 distinct models share this name), - Koreografija BPMN, - Koreografija K/O, - Koreografija klijent operater, - Koreografija zad1, - New Process, - Obrada klijentskog zahteva koreografija, - Operateri, - Picerija koreografija, - VEŽBE 5 - Korisnički servis, - Vezbe 6 -2, - Vezbe koreografija, - Vežbe 5 koreogafija, - call centar četvrtak 10:00 koreografija, - koreografija (2 distinct models share this name), - koreografija na osnovu kol, - koreografija operater, - koreografija zadatak 1, - koreografija(12.mart), - operater problem, - operater-koreografija, - zadatak 2 deo.
q180	The time difference between the earliest and latest model creation dates is approximately 2 years, 5 months, and 13 days (roughly 896 days).
q181	The organization with ID 985f88f59e8b4962a0a2c2fec001b6d1 contains 25 models.
q182	The model 'Auktionshaus_Online' belongs to the organization Org52 (Organization ID: `985f88f59e8b4962a0a2c2fec001b6d1`).
q183	The organization with ID 985f88f59e8b4962a0a2c2fec001b6d1 (labeled Org52) has 25 models, Org52 is the only organization with that model count.
q184	In the organization with ID 985f88f59e8b4962a0a2c2fec001b6d1, 5 models contain choreography tasks related to purchasing goods: - Einkauf (BPMN Choreographiediagramm), - Choreographie Einkauf im Fachhandel, - 7 Choreo, - 7) Choreographie und Konversation, - Auktionshaus_Online.
q185	In the organization with ID `985f88f59e8b4962a0a2c2fec001b6d1`, one model deals with a restaurant/food ordering process: "7) Choreographie und Konversation"
q186	The organization with ID 2dafb1f0acb24b27ae8f0dc47d14fcaa contains 15 models.
q187	The models in organization Org18 (Organization ID: `2dafb1f0acb24b27ae8f0dc47d14fcaa`) are primarily written in German. Only one model has a purely English name: "choreography". A few others mix German with English terms (e.g., "two way"), but the dominant language is clearly German.
q188	In the organization with ID `2dafb1f0acb24b27ae8f0dc47d14fcaa`, there is 1 model related to university application processes:  Choreographiedagramm Hochschulbewerbung (URI: `https://www.teamingai-project.eu/kg/model/fbb0adafe6924f58ac902063a36646fe`)
q189	In organization 2dafb1f0acb24b27ae8f0dc47d14fcaa, there are 6 models that include choreography tasks where "Bewerber" (Applicant) is a participant. All models appear to relate to a university application process (*Hochschulbewerbung*): - A. 2, - BlattG_Aufgabe2, - Choreographiedagramm Hochschulbewerbung, - choreography, - Übungsblatt G - Aufgabe 2 two way, - Übungsblatt G/2.
q190	No models in Organization 2dafb1f0acb24b27ae8f0dc47d14fcaa include parallel execution.
q191	The organization with ID 67e70970f0404a7e87122700ad26d87b contains 13 models.
q192	The language of the models in organization Org35 (ID: `67e70970f0404a7e87122700ad26d87b`) is English.
q193	In the organization with ID `67e70970f0404a7e87122700ad26d87b`, there is 1 model that includes tasks about bike rental or insurance: Bike rental spezzato.
q194	No, Organization "Org35" (ID: 67e70970f0404a7e87122700ad26d87b) does not have a sole, unified profile. Its 13 models span diverse themes and purposes, suggesting the organization is primarily focused on exploring and testing various BPMN choreography patterns rather than modeling a single business domain.
q195	The model where the 'Customer' participant appears in the most tasks within organization `67e70970f0404a7e87122700ad26d87b` is: "Bike rental spezzato" — Customer appears in 14 tasks.
